Album Art,Artist,Track Name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
https://i.scdn.co/image/ab67616d0000b273d69b54199b7773b97a57a196,OFFICIAL HIGE DANDISM,Subtitle,0.649,0.683,6,-6.49,1,0.0424,0.0313,0.0,0.118,0.381,130.0,audio_features,49F3htNmwzPKFycPdOrDvf,spotify:track:49F3htNmwzPKFycPdOrDvf,https://api.spotify.com/v1/tracks/49F3htNmwzPKFycPdOrDvf,https://api.spotify.com/v1/audio-analysis/49F3htNmwzPKFycPdOrDvf,305509,4
https://i.scdn.co/image/ab67616d0000b2736da83ea7813b3b8d1bd22a87,Vaundy,怪獣の花唄,0.425,0.939,2,-3.498,1,0.054,0.00361,0.0,0.331,0.638,150.015,audio_features,10zz9RZt9DnqcxNWksRNrx,spotify:track:10zz9RZt9DnqcxNWksRNrx,https://api.spotify.com/v1/tracks/10zz9RZt9DnqcxNWksRNrx,https://api.spotify.com/v1/audio-analysis/10zz9RZt9DnqcxNWksRNrx,224806,4
https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,NewJeans,OMG,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,audio_features,65FftemJ1DbbZ45DUfHJXE,spotify:track:65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/tracks/65FftemJ1DbbZ45DUfHJXE,https://api.spotify.com/v1/audio-analysis/65FftemJ1DbbZ45DUfHJXE,212253,4
https://i.scdn.co/image/ab67616d0000b273d29582617459e5bb81bd90a6,natori,Overdose,0.733,0.598,4,-9.453,0,0.0377,0.0307,1.7e-05,0.218,0.831,118.012,audio_features,2Dzzhb1oV5ckgOjWZLraIB,spotify:track:2Dzzhb1oV5ckgOjWZLraIB,https://api.spotify.com/v1/tracks/2Dzzhb1oV5ckgOjWZLraIB,https://api.spotify.com/v1/audio-analysis/2Dzzhb1oV5ckgOjWZLraIB,197094,4
https://i.scdn.co/image/ab67616d0000b27333d127d38a5cd9de2c2079c1,yangskinny,本当はね、,0.554,0.779,11,-5.225,1,0.0487,0.245,5.43e-06,0.116,0.861,102.123,audio_features,16yajBS7lk0QAa5CZnTHo9,spotify:track:16yajBS7lk0QAa5CZnTHo9,https://api.spotify.com/v1/tracks/16yajBS7lk0QAa5CZnTHo9,https://api.spotify.com/v1/audio-analysis/16yajBS7lk0QAa5CZnTHo9,201973,4
https://i.scdn.co/image/ab67616d0000b273b84e5ef0604176e68584dc79,百足,君のまま,0.836,0.771,7,-4.441,1,0.106,0.435,0.0,0.172,0.664,123.977,audio_features,78NUnAsLzE6azxvuPDy9M7,spotify:track:78NUnAsLzE6azxvuPDy9M7,https://api.spotify.com/v1/tracks/78NUnAsLzE6azxvuPDy9M7,https://api.spotify.com/v1/audio-analysis/78NUnAsLzE6azxvuPDy9M7,177581,4
https://i.scdn.co/image/ab67616d0000b2731ed02be53f30035e33b20066,Kenshi Yonezu,LADY,0.751,0.55,2,-7.101,1,0.0534,0.28,0.000249,0.101,0.867,90.952,audio_features,7w6NWogvAAFdEhD9MA2uvv,spotify:track:7w6NWogvAAFdEhD9MA2uvv,https://api.spotify.com/v1/tracks/7w6NWogvAAFdEhD9MA2uvv,https://api.spotify.com/v1/audio-analysis/7w6NWogvAAFdEhD9MA2uvv,207167,4
https://i.scdn.co/image/ab67616d0000b273b5900aef5989a39a87bda771,Tani Yuuki,W / X / Y,0.628,0.775,2,-4.479,1,0.0535,0.159,0.0,0.33,0.674,106.382,audio_features,4IfrM44LofE9bSs6TDZS49,spotify:track:4IfrM44LofE9bSs6TDZS49,https://api.spotify.com/v1/tracks/4IfrM44LofE9bSs6TDZS49,https://api.spotify.com/v1/audio-analysis/4IfrM44LofE9bSs6TDZS49,278119,3
https://i.scdn.co/image/ab67616d0000b273e552c9dbdf76676de1032ae0,Mrs. GREEN APPLE,ダンスホール,0.736,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,audio_features,4NaaF28BeO9WzjDrSS71Nz,spotify:track:4NaaF28BeO9WzjDrSS71Nz,https://api.spotify.com/v1/tracks/4NaaF28BeO9WzjDrSS71Nz,https://api.spotify.com/v1/audio-analysis/4NaaF28BeO9WzjDrSS71Nz,203150,4
https://i.scdn.co/image/ab67616d0000b273303d8545fce8302841c39859,Kenshi Yonezu,KICK BACK,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,audio_features,3khEEPRyBeOUabbmOPJzAG,spotify:track:3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/tracks/3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/audio-analysis/3khEEPRyBeOUabbmOPJzAG,193495,4
https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f,NewJeans,Ditto,0.814,0.641,6,-5.957,0,0.111,0.027,0.0,0.0993,0.183,133.854,audio_features,3r8RuvgbX9s7ammBn07D3W,spotify:track:3r8RuvgbX9s7ammBn07D3W,https://api.spotify.com/v1/tracks/3r8RuvgbX9s7ammBn07D3W,https://api.spotify.com/v1/audio-analysis/3r8RuvgbX9s7ammBn07D3W,185507,4
https://i.scdn.co/image/ab67616d0000b273a8f69ba9f78e59382eec9af9,10-FEET,第ゼロ感,0.445,0.94,7,-4.16,1,0.175,2.77e-05,1.34e-05,0.32,0.349,150.082,audio_features,6zjk7Qbwb9DZ4ykUUoqknh,spotify:track:6zjk7Qbwb9DZ4ykUUoqknh,https://api.spotify.com/v1/tracks/6zjk7Qbwb9DZ4ykUUoqknh,https://api.spotify.com/v1/audio-analysis/6zjk7Qbwb9DZ4ykUUoqknh,286000,4
https://i.scdn.co/image/ab67616d0000b273cec8cc1143813c9c241edbe2,Macaroni Empitsu,リンジュー・ラヴ,0.666,0.763,11,-5.96,1,0.0281,0.246,0.0,0.0879,0.663,103.01,audio_features,0NUJhYxwcAAB4UQULseQyX,spotify:track:0NUJhYxwcAAB4UQULseQyX,https://api.spotify.com/v1/tracks/0NUJhYxwcAAB4UQULseQyX,https://api.spotify.com/v1/audio-analysis/0NUJhYxwcAAB4UQULseQyX,185945,4
